City,Country,Date,Weather Condition,Temperature in F
Sofia,Bulgaria,Mon 11:36 PM,Passing clouds. Quite cool.,42
Bucharest,Romania,Mon 11:36 PM,Fog. Quite cool.,41
Lagos,Nigeria,Mon 10:36 PM,Thunderstorms. Passing clouds. Warm.,82
St. John'S,Canada,Mon 06:06 PM,Chilly.,28
Budapest,Hungary,Mon 10:36 PM,Clear. Chilly.,36
Lahore,Pakistan,Mon 02:36 AM,Clear. Cool.,55
Stockholm,Sweden,Mon 10:36 PM,Overcast. Cold.,23
Buenos Aires,Argentina,Mon 06:36 PM,Passing clouds. Warm.,84
Las Vegas,Usa,Mon 01:36 PM,Passing clouds. Mild.,63
Suva,Fiji,Mon 09:36 AM,Overcast. Mild.,74
Cairo,Egypt,Mon 11:36 PM,Haze. Mild.,68
Lima,Peru,Mon 04:36 PM,Passing clouds. Warm.,78
Sydney,Australia,Mon 08:36 AM,Light rain. Overcast. Mild.,75
Calgary,Canada,Mon 02:36 PM,Partly sunny. Refreshingly cool.,57
Lisbon,Portugal,Mon 09:36 PM,Passing clouds. Cool.,54
Taipei,Taiwan,Mon 05:36 AM,Partly cloudy. Cool.,54
Canberra,Australia,Mon 08:36 AM,Rain. Mostly cloudy. Mild.,63
London,Uk,Mon 09:36 PM,Passing clouds. Cool.,48
Tallinn,Estonia,Mon 11:36 PM,Low clouds. Cold.,16
Cape Town,South Africa,Mon 11:36 PM,Passing clouds. Mild.,68
Los Angeles,Usa,Mon 01:36 PM,Sunny. Mild.,71
Tashkent,Uzbekistan,Mon 02:36 AM,Clear. Chilly.,36
Caracas,Venezuela,Mon 05:36 PM,Broken clouds. Warm.,81
Madrid,Spain,Mon 10:36 PM,Passing clouds. Quite cool.,41
Tegucigalpa,Honduras,Mon 03:36 PM,Passing clouds. Mild.,72
Casablanca,Morocco,Mon 10:36 PM,Partly cloudy. Mild.,63
Managua,Nicaragua,Mon 03:36 PM,Passing clouds. Pleasantly warm.,88
Tehran,Iran,Mon 01:06 AM,Fog. Quite cool.,41
Chicago,Usa,Mon 03:36 PM,Partly sunny. Chilly.,25
Manila,Philippines,Mon 05:36 AM,Overcast. Warm.,78
Tokyo,Japan,Mon 06:36 AM,Snow flurries. Overcast. Chilly.,30
Copenhagen,Denmark,Mon 10:36 PM,Overcast. Chilly.,32
Melbourne,Australia,Mon 08:36 AM,Sunny. Mild.,73
Toronto,Canada,Mon 04:36 PM,Passing clouds. Frigid.,5
Dallas,Usa,Mon 03:36 PM,Scattered clouds. Mild.,71
Mexico City,Mexico,Mon 03:36 PM,Passing clouds. Mild.,73
Vancouver,Canada,Mon 01:36 PM,Light rain. Fog. Cool.,50
Dar Es Salaam,Tanzania,Mon 12:36 AM,Passing clouds. Mild.,75
Miami,Usa,Mon 04:36 PM,Scattered clouds. Pleasantly warm.,79
Vienna,Austria,Mon 10:36 PM,Passing clouds. Quite cool.,41
Darwin,Australia,Mon 07:06 AM,Clear. Warm.,79
Minneapolis,Usa,Mon 03:36 PM,Partly sunny. Cold.,21
Warsaw,Poland,Mon 10:36 PM,Ice fog. Chilly.,32
Denver,Usa,Mon 02:36 PM,Partly sunny. Mild.,63
Minsk,Belarus,Mon 12:36 AM,Snow showers. Passing clouds. Cold.,21
Washington Dc,Usa,Mon 04:36 PM,Passing clouds. Cold.,21
Detroit,Usa,Mon 04:36 PM,Scattered clouds. Cold.,19
Montevideo,Uruguay,Mon 06:36 PM,Passing clouds. Warm.,79
Winnipeg,Canada,Mon 03:36 PM,Cold.,21
Dhaka,Bangladesh,Mon 03:36 AM,Clear. Mild.,67
Montréal,Canada,Mon 04:36 PM,Light snow. More clouds than sun. Frigid.,3
Yangon,Myanmar,Mon 04:06 AM,Passing clouds. Mild.,73
Doha,Qatar,Mon 12:36 AM,Clear. Mild.,70
Moscow,Russia,Mon 12:36 AM,Overcast. Cold.,15
Zagreb,Croatia,Mon 10:36 PM,Clear. Quite cool.,45
Dubai,United Arab Emirates,Mon 01:36 AM,Clear. Mild.,72
Mumbai,India,Mon 03:06 AM,Haze. Warm.,81
Zürich,Switzerland,Mon 10:36 PM,Chilly.,36
